originalNameUsageID,genus,taxonID,parentNameUsageID,acceptedNameUsageID,datasetID,taxonomicStatus,taxonRank,scientificName,specificEpithet,infraspecificEpithet,nameAccordingTo,namePublishedIn,nomenclaturalCode,nomenclaturalStatus,taxonRemarks,dcterms:references
,Aethopsylla,129490,,129470,,SYNONYM,SPECIES,"Aethopsylla segregatus (Wagner, 1930)",segregatus,,,,ICZN,,,
,Aethopsylla,129480,,129470,,SYNONYM,SPECIES,"Aethopsylla crassus (Jordan & Rothschild, 1911)",crassus,,,,ICZN,,,
,,xHA,x5G,,,ACCEPTED,GENUS,Paraceras,,,,,,,,
,Paraceras,129640,xHA,,,ACCEPTED,SPECIES,"Paraceras menetus Xie Baoqui, Chen Ruhua & Li Kueichen, 1980",menetus,,,,ICZN,,,
,Paraceras,129650,xHA,,,ACCEPTED,SPECIES,"Paraceras pendleburyi Jordan, 1932",pendleburyi,,,,ICZN,,,
,Paraceras,129660,xHA,,,ACCEPTED,SPECIES,"Paraceras sauteri (Rothschild, 1914)",sauteri,,,,ICZN,,,
,Paraceras,129570,xHA,,,ACCEPTED,SPECIES,"Paraceras laxisinus Xie Baoqui, He Jinghou & Li Kueichen, 1980",laxisinus,,,,ICZN,,,
,Paraceras,129580,xHA,,,ACCEPTED,SPECIES,"Paraceras melinum (Jordan, 1925)",melinum,,,,ICZN,,,
,Paraceras,129590,xHA,,,ACCEPTED,SPECIES,"Paraceras melis (Walker, 1856)",melis,,,,ICZN,,,
,Paraceras,129600,129590,,,ACCEPTED,INFRASPECIFIC_NAME,"Paraceras melis melis (Walker, 1856)",melis,melis,,,ICZN,,,
,Paraceras,129610,129590,,,ACCEPTED,INFRASPECIFIC_NAME,"Paraceras melis flabellum Wagner, 1916",melis,flabellum,,,ICZN,,,
,Paraceras,129620,,129610,,SYNONYM,SUBSPECIES,"Paraceras melis sinensis (Liu, 1935)",melis,sinensis,,,ICZN,,,
,Paraceras,129630,,129610,,SYNONYM,SUBSPECIES,"Paraceras melis sinensis (Sakaguti, 1962)",melis,sinensis,,,ICZN,,,
,Paraceras,sp2-1350,xHA,,,ACCEPTED,SPECIES,Paraceras flabellum,flabellum,,,,ICZN,,Binomial generated by Sp2000,
,Paraceras,138790,sp2-1350,,,ACCEPTED,INFRASPECIFIC_NAME,"Paraceras flabellum sinensis Liu, 1935",flabellum,sinensis,,,ICZN,,,
,Paraceras,129560,xHA,,,ACCEPTED,SPECIES,"Paraceras javanicum (Ewing, 1924)",javanicum,,,,ICZN,,,
,Paraceras,129550,xHA,,,ACCEPTED,SPECIES,"Paraceras hamatum Jordan, 1939",hamatum,,,,ICZN,,,
,Paraceras,129540,xHA,,,ACCEPTED,SPECIES,"Paraceras crispum (Jordan & Rothschild, 1911)",crispum,,,,ICZN,,,
,Paraceras,129530,xHA,,,ACCEPTED,SPECIES,"Paraceras brevimanubrium Li Kueichen & Huang Kueiping, 1979",brevimanubrium,,,,ICZN,,,
,,xGY,x5G,,,ACCEPTED,GENUS,Amaradix,,,,,,,,
,Amaradix,122800,xGY,,,ACCEPTED,SPECIES,"Amaradix bitterrootensis (Dunn, 1923)",bitterrootensis,,,,ICZN,,,
,Amaradix,122830,122800,,,ACCEPTED,INFRASPECIFIC_NAME,"Amaradix bitterrootensis vonfintelis (Prince, 1959)",bitterrootensis,vonfintelis,,,ICZN,,,
,Amaradix,122810,122800,,,ACCEPTED,INFRASPECIFIC_NAME,"Amaradix bitterrootensis bitterrootensis (Dunn, 1923)",bitterrootensis,bitterrootensis,,,ICZN,,,
,Amaradix,122820,,122800,,SYNONYM,SPECIES,"Amaradix isus (Jordan, 1925)",isus,,,,ICZN,,,
,Amaradix,122840,xGY,,,ACCEPTED,SPECIES,"Amaradix euphorbi (Rothschild, 1905)",euphorbi,,,,ICZN,,,
,Amaradix,122850,,122840,,SYNONYM,SPECIES,"Amaradix jordani (Fox, 1939)",jordani,,,,ICZN,,,
,,xH2,x5G,,,ACCEPTED,GENUS,Baculomeris,,,,,,,,
,Baculomeris,123020,xH2,,,ACCEPTED,SPECIES,"Baculomeris altmani (Tipton & Mendez, 1961)",altmani,,,,ICZN,,,
,Baculomeris,123030,xH2,,,ACCEPTED,SPECIES,"Baculomeris schmidti (Traub, 1950)",schmidti,,,,ICZN,,,
,,xH4,x5G,,,ACCEPTED,GENUS,Brevictenidia,,,,,,,,
,Brevictenidia,123050,xH4,,,ACCEPTED,SPECIES,"Brevictenidia mikulini (Shvarts, 1960)",mikulini,,,,ICZN,,,
,,xH6,x5G,,,ACCEPTED,GENUS,Callopsylla,,,,,,,,
,Callopsylla,123260,xH6,,,ACCEPTED,SPECIES,"Callopsylla liui Li Chao, Wu Wenzhen & Yang Xizheng, 1989",liui,,,,ICZN,,,
,Callopsylla,123250,xH6,,,ACCEPTED,SPECIES,"Callopsylla lagomys (Wagner, 1898)",lagomys,,,,ICZN,,,
,Callopsylla,123270,xH6,,,ACCEPTED,SPECIES,"Callopsylla longispina Zhang Rongguang & Yu Xin, 1988",longispina,,,,ICZN,,,
,Callopsylla,123280,xH6,,,ACCEPTED,SPECIES,"Callopsylla mygala (Lewis, 1971)",mygala,,,,ICZN,,,
,Callopsylla,123300,xH6,,,ACCEPTED,SPECIES,"Callopsylla saxatilis (Ioff & Argyropulo, 1934)",saxatilis,,,,ICZN,,,
,Callopsylla,123310,,123300,,SYNONYM,SPECIES,"Callopsylla occidentis (Jordan, 1938)",occidentis,,,,ICZN,,,
,Callopsylla,123290,xH6,,,ACCEPTED,SPECIES,"Callopsylla petaurista Tsai Liyuen, Wu Wenching & Liu Chiying, 1974",petaurista,,,,ICZN,,,
,Callopsylla,123360,xH6,,,ACCEPTED,SPECIES,"Callopsylla streeti Lewis, 1973",streeti,,,,ICZN,,,
,Callopsylla,123370,,123360,,SYNONYM,SPECIES,"Callopsylla danieli (Smit & Rosicky, 1973)",danieli,,,,ICZN,,,
,Callopsylla,123320,xH6,,,ACCEPTED,SPECIES,"Callopsylla sparsilis (Jordan & Rothschild, 1922)",sparsilis,,,,ICZN,,,
,Callopsylla,123330,123320,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla sparsilis sparsilis (Jordan & Rothschild, 1922)",sparsilis,sparsilis,,,ICZN,,,
,Callopsylla,123350,123320,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla sparsilis atallahi (Lewis, 1971)",sparsilis,atallahi,,,ICZN,,,
,Callopsylla,123340,,123320,,SYNONYM,SPECIES,"Callopsylla tenuihamus (Liu, Wu & Wu, 1966)",tenuihamus,,,,ICZN,,,
,Callopsylla,123390,xH6,,,ACCEPTED,SPECIES,"Callopsylla yui Ye Ruiyu & Jiang Wanwu, 1990",yui,,,,ICZN,,,
,Callopsylla,123380,xH6,,,ACCEPTED,SPECIES,"Callopsylla xui Wu Hou-yong, Guo Tian-yu & Liu Quan, 1996",xui,,,,ICZN,,,
,Callopsylla,123420,xH6,,,ACCEPTED,SPECIES,"Callopsylla beishanensis Wu Wenzhen, Ni Guoxiang & Wu Houyoung, 1986",beishanensis,,,,ICZN,,,
,Callopsylla,123400,xH6,,,ACCEPTED,SPECIES,"Callopsylla zhangi Wu Hou-yong, Guo Tian-yu & Liu Quan, 1996",zhangi,,,,ICZN,,,
,Callopsylla,123440,xH6,,,ACCEPTED,SPECIES,"Callopsylla gypaetina Peus, 1978",gypaetina,,,,ICZN,,,
,Callopsylla,123430,xH6,,,ACCEPTED,SPECIES,"Callopsylla gemina (Ioff, 1946)",gemina,,,,ICZN,,,
,Callopsylla,123470,xH6,,,ACCEPTED,SPECIES,"Callopsylla waterstoni (Jordan, 1925)",waterstoni,,,,ICZN,,,
,Callopsylla,123480,,123470,,SYNONYM,SPECIES,"Callopsylla rothschildi (Waterston, 1910)",rothschildi,,,,ICZN,,,
,Callopsylla,123460,xH6,,,ACCEPTED,SPECIES,"Callopsylla oreinus (Jordan, 1937)",oreinus,,,,ICZN,,,
,Callopsylla,123500,xH6,,,ACCEPTED,SPECIES,"Callopsylla kaznakovi (Wagner, 1928)",kaznakovi,,,,ICZN,,,
,Callopsylla,123520,xH6,,,ACCEPTED,SPECIES,"Callopsylla semenovi (Ioff, 1936)",semenovi,,,,ICZN,,,
,Callopsylla,123080,xH6,,,ACCEPTED,SPECIES,"Callopsylla arcuata Ge Long, Wang Chenggui & Ma Liming, 1988",arcuata,,,,ICZN,,,
,Callopsylla,123190,xH6,,,ACCEPTED,SPECIES,"Callopsylla digitata Cai Liyun, Wu Jiasong & Liu Chiying, 1984",digitata,,,,ICZN,,,
,Callopsylla,123210,xH6,,,ACCEPTED,SPECIES,"Callopsylla dolabris (Jordan & Rothschild, 1911)",dolabris,,,,ICZN,,,
,Callopsylla,123090,xH6,,,ACCEPTED,SPECIES,"Callopsylla caspia (Ioff & Argyropulo, 1934)",caspia,,,,ICZN,,,
,Callopsylla,123150,123090,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla caspia tiflovi Wagner, 1936",caspia,tiflovi,,,ICZN,,,
,Callopsylla,123170,,123150,,SYNONYM,SUBSPECIES,"Callopsylla caspia elbursi (Argyropulo & Dubinin, 1948)",caspia,elbursi,,,ICZN,,,
,Callopsylla,123130,123090,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla caspia fragilis (Mikulin, 1953)",caspia,fragilis,,,ICZN,,,
,Callopsylla,123140,123090,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla caspia gaiskii (Vovchinskaya, 1950)",caspia,gaiskii,,,ICZN,,,
,Callopsylla,123120,123090,,,ACCEPTED,INFRASPECIFIC_NAME,"Callopsylla caspia caspia (Ioff & Argyropulo, 1934)",caspia,caspia,,,ICZN,,,
,Callopsylla,123110,,123090,,SYNONYM,SUBSPECIES,"Callopsylla caspia rhodopeia Rosicky, 1959",caspia,rhodopeia,,,ICZN,,,
,Callopsylla,123100,,123090,,SYNONYM,SPECIES,"Callopsylla caspius (Tiflov, 1937)",caspius,,,,ICZN,,,
,Callopsylla,123160,,123090,,SYNONYM,SPECIES,"Callopsylla alticola (Jordan, 1944)",alticola,,,,ICZN,,,
,Callopsylla,123180,xH6,,,ACCEPTED,SPECIES,"Callopsylla changduensis (Liu Chiying, Wu Houyong & Wu Foolin, 1966)",changduensis,,,,ICZN,,,
,Callopsylla,123230,xH6,,,ACCEPTED,SPECIES,"Callopsylla kazbegiensis Goncharov, 1980",kazbegiensis,,,,ICZN,,,
,Callopsylla,123240,xH6,,,ACCEPTED,SPECIES,"Callopsylla kozlovi (Wagner, 1928)",kozlovi,,,,ICZN,,,
,Callopsylla,123200,xH6,,,ACCEPTED,SPECIES,"Callopsylla dolabella Smit & Rosicky, 1976",dolabella,,,,ICZN,,,
,Callopsylla,123220,xH6,,,ACCEPTED,SPECIES,"Callopsylla forfica Wu Houyong, Chen Jiaxian & Liu Quan, 1981",forfica,,,,ICZN,,,
,,xJ2,x5G,,,ACCEPTED,GENUS,Kohlsia,,,,,,,,
,Kohlsia,126220,xJ2,,,ACCEPTED,SPECIES,"Kohlsia osgoodi Traub, 1950",osgoodi,,,,ICZN,,,
,Kohlsia,126200,xJ2,,,ACCEPTED,SPECIES,"Kohlsia mojica Tipton & Mendez, 1966",mojica,,,,ICZN,,,
,Kohlsia,126210,xJ2,,,ACCEPTED,SPECIES,"Kohlsia ortizi (Vargas, 1951)",ortizi,,,,ICZN,,,
,Kohlsia,126190,xJ2,,,ACCEPTED,SPECIES,"Kohlsia martini Holland, 1971",martini,,,,ICZN,,,
,Kohlsia,126180,xJ2,,,ACCEPTED,SPECIES,"Kohlsia linni Hubbard, 1958",linni,,,,ICZN,,,
,Kohlsia,126170,xJ2,,,ACCEPTED,SPECIES,"Kohlsia keenani Tipton & Mendez, 1961",keenani,,,,ICZN,,,
,Kohlsia,126130,xJ2,,,ACCEPTED,SPECIES,"Kohlsia gammonsi Traub, 1950",gammonsi,,,,ICZN,,,
,Kohlsia,126140,xJ2,,,ACCEPTED,SPECIES,"Kohlsia graphis (Rothschild, 1909)",graphis,,,,ICZN,,,
,Kohlsia,126160,126140,,,ACCEPTED,INFRASPECIFIC_NAME,"Kohlsia graphis erana Traub, 1950",graphis,erana,,,ICZN,,,
,Kohlsia,126150,126140,,,ACCEPTED,INFRASPECIFIC_NAME,"Kohlsia graphis graphis (Rothschild, 1909)",graphis,graphis,,,ICZN,,,
,Kohlsia,126120,xJ2,,,ACCEPTED,SPECIES,"Kohlsia fournieri Vargas, 1951",fournieri,,,,ICZN,,,
,Kohlsia,126110,xJ2,,,ACCEPTED,SPECIES,"Kohlsia felteni Smit, 1958",felteni,,,,ICZN,,,
,Kohlsia,126100,xJ2,,,ACCEPTED,SPECIES,"Kohlsia falcata Mendez & Hanssen, 1975",falcata,,,,ICZN,,,
,Kohlsia,126090,xJ2,,,ACCEPTED,SPECIES,"Kohlsia cora Traub, 1950",cora,,,,ICZN,,,
,Kohlsia,126080,xJ2,,,ACCEPTED,SPECIES,"Kohlsia campaniger (Jordan, 1931)",campaniger,,,,ICZN,,,
,Kohlsia,126070,xJ2,,,ACCEPTED,SPECIES,"Kohlsia azuerensis Tipton & Mendez, 1966",azuerensis,,,,ICZN,,,
,Kohlsia,126240,xJ2,,,ACCEPTED,SPECIES,"Kohlsia tiptoni Mendez & Altman, 1960",tiptoni,,,,ICZN,,,
,Kohlsia,126230,xJ2,,,ACCEPTED,SPECIES,"Kohlsia pelaezi Barrera, 1956",pelaezi,,,,ICZN,,,
,Kohlsia,126250,xJ2,,,ACCEPTED,SPECIES,"Kohlsia traubi Tipton & Mendez, 1961",traubi,,,,ICZN,,,
,Kohlsia,126260,xJ2,,,ACCEPTED,SPECIES,"Kohlsia uniseta Traub, 1950",uniseta,,,,ICZN,,,
,Kohlsia,126270,xJ2,,,ACCEPTED,SPECIES,"Kohlsia whartoni Traub & Johnson, 1952",whartoni,,,,ICZN,,,
,,xHY,x5G,,,ACCEPTED,GENUS,Igioffius,,,,,,,,
,Igioffius,125890,xHY,,,ACCEPTED,SPECIES,"Igioffius taiganus (Scalon, 1950)",taiganus,,,,ICZN,,,
,,xHU,x5G,,,ACCEPTED,GENUS,Glaciopsyllus,,,,,,,,
,Glaciopsyllus,125850,xHU,,,ACCEPTED,SPECIES,"Glaciopsyllus antarcticus Smit & Dunnet, 1962",antarcticus,,,,ICZN,,,
,,xHW,x5G,,,ACCEPTED,GENUS,Hollandipsylla,,,,,,,,
,Ceratophyllus,124700,,124630,,SYNONYM,SUBSPECIES,"Ceratophyllus garei islandicus Wagner, 1938",garei,islandicus,,,ICZN,,,
,Hollandipsylla,125870,xHW,,,ACCEPTED,SPECIES,"Hollandipsylla neali Traub, 1953",neali,,,,ICZN,,,
,,xHS,x5G,,,ACCEPTED,GENUS,Eumolpianus,,,,,,,,
,Eumolpianus,125830,xHS,,,ACCEPTED,SPECIES,"Eumolpianus wallowensis (Hubbard, 1950)",wallowensis,,,,ICZN,,,
,Eumolpianus,125810,xHS,,,ACCEPTED,SPECIES,"Eumolpianus orarius (Johnson, 1961)",orarius,,,,ICZN,,,
,Eumolpianus,125820,xHS,,,ACCEPTED,SPECIES,"Eumolpianus polumas (Traub & Johnson, 1952)",polumas,,,,ICZN,,,
,Eumolpianus,125750,xHS,,,ACCEPTED,SPECIES,"Eumolpianus eumolpi (Rothschild, 1905)",eumolpi,,,,ICZN,,,
,Eumolpianus,125760,125750,,,ACCEPTED,INFRASPECIFIC_NAME,"Eumolpianus eumolpi eumolpi (Rothschild, 1905)",eumolpi,eumolpi,,,ICZN,,,
,Eumolpianus,125770,,125760,,SYNONYM,SUBSPECIES,"Eumolpianus eumolpi canadensis (Hubbard, 1950)",eumolpi,canadensis,,,ICZN,,,
,Eumolpianus,125780,125750,,,ACCEPTED,INFRASPECIFIC_NAME,"Eumolpianus eumolpi americanus (Hubbard, 1950)",eumolpi,americanus,,,ICZN,,,
,Eumolpianus,125730,xHS,,,ACCEPTED,SPECIES,"Eumolpianus cyrturus (Jordan, 1929)",cyrturus,,,,ICZN,,,
,Eumolpianus,125740,,125730,,SYNONYM,SUBSPECIES,"Eumolpianus cyrturus charlestonensis (Hubbard, 1950)",cyrturus,charlestonensis,,,ICZN,,,
,Eumolpianus,125800,xHS,,,ACCEPTED,SPECIES,"Eumolpianus fornacis (Jordan, 1937)",fornacis,,,,ICZN,,,
,Eumolpianus,125790,xHS,,,ACCEPTED,SPECIES,"Eumolpianus eutamiadis (Augustson, 1942)",eutamiadis,,,,ICZN,,,
,,xHQ,x5G,,,ACCEPTED,GENUS,Dasypsyllus,,,,,,,,
,Dasypsyllus,125700,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus stejnegeri (Jordan, 1929)",stejnegeri,,,,ICZN,,,
,Dasypsyllus,125710,,125700,,SYNONYM,SPECIES,"Dasypsyllus monicae (Capri, 1960)",monicae,,,,ICZN,,,
,Dasypsyllus,125690,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus plumosissimus Smit, 1976",plumosissimus,,,,ICZN,,,
,Dasypsyllus,125650,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus aemulus Jordan, 1933",aemulus,,,,ICZN,,,
,Dasypsyllus,125660,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus araucanus Jordan & Rothschild, 1920",araucanus,,,,ICZN,,,
,Dasypsyllus,125670,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus comatus Jordan, 1933",comatus,,,,ICZN,,,
,Dasypsyllus,125680,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus cteniopus (Jordan & Rothschild, 1920)",cteniopus,,,,ICZN,,,
,Dasypsyllus,125440,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus lasius (Rothschild, 1909)",lasius,,,,ICZN,,,
,Dasypsyllus,125460,125440,,,ACCEPTED,INFRASPECIFIC_NAME,"Dasypsyllus lasius venezuelensis (I.Fox & Anduze, 1947)",lasius,venezuelensis,,,ICZN,,,
,Dasypsyllus,125450,125440,,,ACCEPTED,INFRASPECIFIC_NAME,"Dasypsyllus lasius lasius (Rothschild, 1909)",lasius,lasius,,,ICZN,,,
,Dasypsyllus,125480,xHQ,,,ACCEPTED,SPECIES,"Dasypsyllus gallinulae (Dale, 1878)",gallinulae,,,,ICZN,,,
,Dasypsyllus,125630,125480,,,ACCEPTED,INFRASPECIFIC_NAME,"Dasypsyllus gallinulae perpinnatus Baker, 1904",gallinulae,perpinnatus,,,ICZN,,,
,Dasypsyllus,125490,125480,,,ACCEPTED,INFRASPECIFIC_NAME,"Dasypsyllus gallinulae gallinulae (Dale, 1878)",gallinulae,gallinulae,,,ICZN,,,
,Dasypsyllus,125610,,125490,,SYNONYM,SUBSPECIES,"Dasypsyllus gallinulae zilianus Peus, 1954",gallinulae,zilianus,,,ICZN,,,
,Dasypsyllus,125620,125480,,,ACCEPTED,INFRASPECIFIC_NAME,"Dasypsyllus gallinulae klossi (Rothschild, 1919)",gallinulae,klossi,,,ICZN,,,
,Dasypsyllus,125500,,125480,,SYNONYM,SPECIES,"Dasypsyllus arvensis (Dale, 1878)",arvensis,,,,ICZN,,,
,Dasypsyllus,125580,,125480,,SYNONYM,SPECIES,"Dasypsyllus pyrhulae (Dale, 1878)",pyrhulae,,,,ICZN,,,
,Dasypsyllus,125570,,125480,,SYNONYM,SPECIES,"Dasypsyllus newsteadi (Rothschild, 1901)",newsteadi,,,,ICZN,,,
,Dasypsyllus,125550,,125480,,SYNONYM,SPECIES,"Dasypsyllus garruli (Dale, 1878)",garruli,,,,ICZN,,,
,Dasypsyllus,125560,,125480,,SYNONYM,SPECIES,"Dasypsyllus merulae (Dale, 1878)",merulae,,,,ICZN,,,
,Dasypsyllus,125540,,125480,,SYNONYM,SPECIES,"Dasypsyllus citrinellae (Dale, 1878)",citrinellae,,,,ICZN,,,
,Dasypsyllus,125530,,125480,,SYNONYM,SPECIES,"Dasypsyllus cinereae (Dale, 1878)",cinereae,,,,ICZN,,,
,Dasypsyllus,125510,,125480,,SYNONYM,SPECIES,"Dasypsyllus atricapillae (Dale, 1878)",atricapillae,,,,ICZN,,,
,Dasypsyllus,125520,,125480,,SYNONYM,SPECIES,"Dasypsyllus caudati (Dale, 1878)",caudati,,,,ICZN,,,
,Dasypsyllus,125590,,125480,,SYNONYM,SPECIES,"Dasypsyllus trochili (Dale, 1878)",trochili,,,,ICZN,,,
,Dasypsyllus,125600,,125480,,SYNONYM,SPECIES,"Dasypsyllus viscivora (Dale, 1878)",viscivora,,,,ICZN,,,
,,xHN,x5G,,,ACCEPTED,GENUS,Citellophilus,,,,,,,,
,Citellophilus,125300,xHN,,,ACCEPTED,SPECIES,"Citellophilus tesquorum (Wagner, 1898)",tesquorum,,,,ICZN,,,
,Citellophilus,125340,125300,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus tesquorum mongolicus (Jordan & Rothschild, 1911)",tesquorum,mongolicus,,,ICZN,,,
,Citellophilus,125360,125300,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus tesquorum transvolgensis (Ioff, 1936)",tesquorum,transvolgensis,,,ICZN,,,
,Citellophilus,125310,125300,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus tesquorum tesquorum (Wagner, 1898)",tesquorum,tesquorum,,,ICZN,,,
,Citellophilus,125330,125300,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus tesquorum ciscaucasicus (Ioff, 1936)",tesquorum,ciscaucasicus,,,ICZN,,,
,Citellophilus,125320,,125300,,SYNONYM,SPECIES,"Citellophilus dubius (Wagner, 1898)",dubius,,,,ICZN,,,
,Citellophilus,125350,,125300,,SYNONYM,SPECIES,"Citellophilus famulus (Jordan & Rothschild, 1911)",famulus,,,,ICZN,,,
,Citellophilus,125380,xHN,,,ACCEPTED,SPECIES,"Citellophilus trispinus (Wagner & Ioff, 1926)",trispinus,,,,ICZN,,,
,Citellophilus,125400,125380,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus trispinus trispinus (Wagner & Ioff, 1926)",trispinus,trispinus,,,ICZN,,,
,Citellophilus,125390,,125380,,SYNONYM,SUBSPECIES,"Citellophilus trispinus balkhaschensis (Mikulin, 1958)",trispinus,balkhaschensis,,,ICZN,,,
,Citellophilus,125370,xHN,,,ACCEPTED,SPECIES,"Citellophilus transcaucasicus (Ioff & Argyropulo, 1934)",transcaucasicus,,,,ICZN,,,
,Citellophilus,125410,xHN,,,ACCEPTED,SPECIES,"Citellophilus ullus (Mikulin, 1957)",ullus,,,,ICZN,,,
,Citellophilus,125190,xHN,,,ACCEPTED,SPECIES,"Citellophilus menzbieri (Ioff, 1950)",menzbieri,,,,ICZN,,,
,Citellophilus,125200,,125190,,SYNONYM,SPECIES,"Citellophilus menzbieri (Ioff, 1948)",menzbieri,,,,ICZN,,,
,Citellophilus,125210,xHN,,,ACCEPTED,SPECIES,"Citellophilus relicticola (Fedina, 1946)",relicticola,,,,ICZN,,,
,Citellophilus,125220,xHN,,,ACCEPTED,SPECIES,"Citellophilus simplex (Wagner, 1902)",simplex,,,,ICZN,,,
,Citellophilus,125260,125220,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus simplex rosickyi Cyprich, 1989",simplex,rosickyi,,,ICZN,,,
,Citellophilus,125250,125220,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus simplex simplex (Wagner, 1902)",simplex,simplex,,,ICZN,,,
,Citellophilus,125240,,125220,,SYNONYM,SUBSPECIES,"Citellophilus simplex domicae Rosicky, 1956",simplex,domicae,,,ICZN,,,
,Citellophilus,125230,,125220,,SYNONYM,SPECIES,"Citellophilus danubrianus (Rothschild, 1909)",danubrianus,,,,ICZN,,,
,Citellophilus,125270,xHN,,,ACCEPTED,SPECIES,"Citellophilus sungaris (Jordan, 1929)",sungaris,,,,ICZN,,,
,Citellophilus,125280,125270,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus sungaris sungaris (Jordan, 1929)",sungaris,sungaris,,,ICZN,,,
,Citellophilus,125290,125270,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus sungaris lobatschevi Cyprich, Kiefer & Krumpal, 1985",sungaris,lobatschevi,,,ICZN,,,
,Citellophilus,125090,xHN,,,ACCEPTED,SPECIES,"Citellophilus altaicus (Ioff, 1936)",altaicus,,,,ICZN,,,
,Citellophilus,125100,,125090,,SYNONYM,SUBSPECIES,"Citellophilus altaicus dzetysuensis (Mikulin, 1951)",altaicus,dzetysuensis,,,ICZN,,,
,Citellophilus,125160,xHN,,,ACCEPTED,SPECIES,"Citellophilus martinoi (Wagner & Ioff, 1926)",martinoi,,,,ICZN,,,
,Citellophilus,125180,125160,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus martinoi rotundus Rosicky, 1956",martinoi,rotundus,,,ICZN,,,
,Citellophilus,125170,125160,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus martinoi martinoi (Wagner & Ioff, 1926)",martinoi,martinoi,,,ICZN,,,
,Citellophilus,125130,xHN,,,ACCEPTED,SPECIES,"Citellophilus lebedewi (Wagner, 1933)",lebedewi,,,,ICZN,,,
,Citellophilus,125150,125130,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus lebedewi princeps (Ioff, 1946)",lebedewi,princeps,,,ICZN,,,
,Citellophilus,125140,125130,,,ACCEPTED,INFRASPECIFIC_NAME,"Citellophilus lebedewi lebedewi (Wagner, 1933)",lebedewi,lebedewi,,,ICZN,,,
,Citellophilus,125120,xHN,,,ACCEPTED,SPECIES,"Citellophilus jenissejensis (Wagner, 1902)",jenissejensis,,,,ICZN,,,
,Citellophilus,125110,xHN,,,ACCEPTED,SPECIES,"Citellophilus gracilis (Mikulin, 1957)",gracilis,,,,ICZN,,,
,,xHL,x5G,,,ACCEPTED,GENUS,Spicata,,,,,,,,
,Spicata,131120,xHL,,,ACCEPTED,SPECIES,"Spicata rara (I.Fox, 1940)",rara,,,,ICZN,,,
,Spicata,131110,xHL,,,ACCEPTED,SPECIES,"Spicata pacifica (Hubbard, 1943)",pacifica,,,,ICZN,,,
,Spicata,130990,xHL,,,ACCEPTED,SPECIES,"Spicata bottaceps (Hubbard, 1943)",bottaceps,,,,ICZN,,,
,Spicata,131000,xHL,,,ACCEPTED,SPECIES,"Spicata comis (Jordan, 1929)",comis,,,,ICZN,,,
,Spicata,131020,131000,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata comis scapoosei (Hubbard, 1954)",comis,scapoosei,,,ICZN,,,
,Spicata,131040,131000,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata comis walkeri (Hubbard, 1954)",comis,walkeri,,,ICZN,,,
,Spicata,131030,131000,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata comis tacomae (Hubbard, 1954)",comis,tacomae,,,ICZN,,,
,Spicata,131010,131000,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata comis comis (Jordan, 1929)",comis,comis,,,ICZN,,,
,Spicata,131050,xHL,,,ACCEPTED,SPECIES,"Spicata minidoka (Prince & Stark, 1951)",minidoka,,,,ICZN,,,
,Spicata,131060,xHL,,,ACCEPTED,SPECIES,"Spicata monticola (Prince, 1945)",monticola,,,,ICZN,,,
,Spicata,131070,xHL,,,ACCEPTED,SPECIES,"Spicata moorei (Hubbard, 1949)",moorei,,,,ICZN,,,
,Spicata,131080,131070,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata moorei moorei (Hubbard, 1949)",moorei,moorei,,,ICZN,,,
,Spicata,131090,131070,,,ACCEPTED,INFRASPECIFIC_NAME,"Spicata moorei oregona (Hubbard, 1954)",moorei,oregona,,,ICZN,,,
